epoch	loss	acc	lr	f1_score.avg
0	tensor(1.2444, device='cuda:0')	0.6961804703225489	0.0001	0.6962787723785167
1	tensor(0.7033, device='cuda:0')	0.7823162649123668	0.0001	0.7823277209434503
2	tensor(0.4955, device='cuda:0')	0.8345770533654082	0.0001	0.8345861750497306
3	tensor(0.3847, device='cuda:0')	0.8666110265599686	0.0001	0.8666265274225634
4	tensor(0.3242, device='cuda:0')	0.8819284206392066	0.0001	0.8819096334185846
5	tensor(0.2853, device='cuda:0')	0.8953065933526437	0.0001	0.895289499857914
6	tensor(0.2536, device='cuda:0')	0.9059600373116009	0.0001	0.9059047314578008
7	tensor(0.2303, device='cuda:0')	0.9132505277627768	0.0001	0.9131511082693947
8	tensor(0.2132, device='cuda:0')	0.9200500760960283	0.0001	0.9200614521170792
9	tensor(0.1965, device='cuda:0')	0.9262604938877707	0.0001	0.9263285024154585
10	tensor(0.1902, device='cuda:0')	0.9290588639599391	0.00010800000000000001	0.9290675618073314
11	tensor(0.1729, device='cuda:0')	0.9344837743630026	0.00010800000000000001	0.9344401818698496
12	tensor(0.1662, device='cuda:0')	0.9389268005302175	0.00010800000000000001	0.9389425262858764
13	tensor(0.1575, device='cuda:0')	0.9423388482497913	0.00010800000000000001	0.9422943307757893
14	tensor(0.1460, device='cuda:0')	0.9465118562521478	0.00010800000000000001	0.9464940323955667
15	tensor(0.1419, device='cuda:0')	0.9485983602533261	0.00010800000000000001	0.9486214123330492
16	tensor(0.1256, device='cuda:0')	0.9549560606804458	0.00010800000000000001	0.954947428246661
17	tensor(0.1263, device='cuda:0')	0.9546860425155874	0.00010800000000000001	0.954688832054561
18	tensor(0.1160, device='cuda:0')	0.9587854092002553	0.00010800000000000001	0.9587599460073883
19	tensor(0.1103, device='cuda:0')	0.9611910255780843	0.00010800000000000001	0.9611839300937767
20	tensor(0.1048, device='cuda:0')	0.9632529824733664	0.00011664000000000002	0.9632647769252625
21	tensor(0.1066, device='cuda:0')	0.9623692866611027	0.00011664000000000002	0.9623604006820125
22	tensor(0.1033, device='cuda:0')	0.9631793411556777	0.00011664000000000002	0.9631802358624608
23	tensor(0.0933, device='cuda:0')	0.9657567872747803	0.00011664000000000002	0.965753765274225
24	tensor(0.0917, device='cuda:0')	0.9679660268054396	0.00011664000000000002	0.9679706592782038
25	tensor(0.0872, device='cuda:0')	0.9691197407825617	0.00011664000000000002	0.9691226200625175
26	tensor(0.0867, device='cuda:0')	0.9688742697235996	0.00011664000000000002	0.9688444870701902
27	tensor(0.0789, device='cuda:0')	0.9720162992783151	0.00011664000000000002	0.9719927536231886
28	tensor(0.0743, device='cuda:0')	0.9738818793264274	0.00011664000000000002	0.973866510372265
29	tensor(0.0708, device='cuda:0')	0.974863763562276	0.00011664000000000002	0.97483589087809
30	tensor(0.0728, device='cuda:0')	0.9742991801266631	0.00012597120000000002	0.9743052003410053
31	tensor(0.0706, device='cuda:0')	0.9753792527860965	0.00012597120000000002	0.9753836317135546
32	tensor(0.0689, device='cuda:0')	0.9755265354214738	0.00012597120000000002	0.9755417021881216
33	tensor(0.0669, device='cuda:0')	0.9763611370219452	0.00012597120000000002	0.9763309889173061
34	tensor(0.0600, device='cuda:0')	0.9788158476115666	0.00012597120000000002	0.9787819693094628
35	tensor(0.0615, device='cuda:0')	0.978054887328784	0.00012597120000000002	0.978022165387894
36	tensor(0.0615, device='cuda:0')	0.9789385831410476	0.00012597120000000002	0.9789155299801079
37	tensor(0.0597, device='cuda:0')	0.979429525258972	0.00012597120000000002	0.9794167377095768
38	tensor(0.0539, device='cuda:0')	0.9811232755658108	0.00012597120000000002	0.9811079141801653
39	tensor(0.0565, device='cuda:0')	0.9795768078943493	0.00012597120000000002	0.9795748081841429
40	tensor(0.0535, device='cuda:0')	0.9803623152830281	0.00013604889600000005	0.9803481102585957
41	tensor(0.0548, device='cuda:0')	0.9803377681771319	0.00013604889600000005	0.9803456237567488
42	tensor(0.0531, device='cuda:0')	0.9816142176837351	0.00013604889600000005	0.9816201335606709
43	tensor(0.0528, device='cuda:0')	0.9810250871422259	0.00013604889600000005	0.9810318982665536
44	tensor(0.0512, device='cuda:0')	0.9822278953311404	0.00013604889600000005	0.9822108553566359
45	tensor(0.0455, device='cuda:0')	0.9839461927438755	0.00013604889600000005	0.9839485649332207
46	tensor(0.0478, device='cuda:0')	0.9829397614021307	0.00013604889600000005	0.9829436629724368
47	tensor(0.0449, device='cuda:0')	0.9846335117089695	0.00013604889600000005	0.9846128161409501
48	tensor(0.0476, device='cuda:0')	0.9835779861554322	0.00013604889600000005	0.9835478829212849
