epoch	loss	acc	lr	f1_score.avg
0	tensor(1.2799, device='cuda:0')	0.6854378868365905	0.00030000000000000003	0.6851978486361886
1	tensor(0.9168, device='cuda:0')	0.7286173790145719	0.00030000000000000003	0.7287091817134073
2	tensor(0.7146, device='cuda:0')	0.7666309274331108	0.00030000000000000003	0.7666256883083625
3	tensor(0.6019, device='cuda:0')	0.7956771772503534	0.00030000000000000003	0.7955884236137784
4	tensor(0.5342, device='cuda:0')	0.8150738340075052	0.00030000000000000003	0.8150352157766684
5	tensor(0.4918, device='cuda:0')	0.8271358253326185	0.00030000000000000003	0.8272775003201434
6	tensor(0.4602, device='cuda:0')	0.8369072566889224	0.00030000000000000003	0.8370738891023184
7	tensor(0.4339, device='cuda:0')	0.8463619084750719	0.00030000000000000003	0.846395185042899
8	tensor(0.4085, device='cuda:0')	0.8538427798625664	0.00030000000000000003	0.8539044692022028
9	tensor(0.3908, device='cuda:0')	0.8602271065841415	0.00030000000000000003	0.8601203739275198
10	tensor(0.3729, device='cuda:0')	0.8656854622544958	0.00030000000000000003	0.8656895889358424
11	tensor(0.3583, device='cuda:0')	0.8706320970807544	0.00030000000000000003	0.8707081572544506
12	tensor(0.3470, device='cuda:0')	0.8748964374482188	0.00030000000000000003	0.874846971443207
13	tensor(0.3273, device='cuda:0')	0.8804766314147863	0.00030000000000000003	0.880498143168139
14	tensor(0.3157, device='cuda:0')	0.8850090160339198	0.00030000000000000003	0.8850633883980026
15	tensor(0.3060, device='cuda:0')	0.8900287538379064	0.00030000000000000003	0.8901152516327316
16	tensor(0.2939, device='cuda:0')	0.8940494176129441	0.00030000000000000003	0.89409015238827
17	tensor(0.2882, device='cuda:0')	0.8960963009893269	0.00030000000000000003	0.8962133435779226
18	tensor(0.2791, device='cuda:0')	0.89897168477996	0.00030000000000000003	0.8990446920220263
19	tensor(0.2691, device='cuda:0')	0.9042107315171305	0.00030000000000000003	0.9042361377897291
20	tensor(0.2591, device='cuda:0')	0.9058433646863883	0.00030000000000000003	0.9057869125368159
21	tensor(0.2516, device='cuda:0')	0.9083776012476241	0.00030000000000000003	0.9083173261621205
22	tensor(0.2453, device='cuda:0')	0.911131146742044	0.00030000000000000003	0.9111064156742216
23	tensor(0.2397, device='cuda:0')	0.9132023977776694	0.00030000000000000003	0.9132142399795109
24	tensor(0.2636, device='cuda:0')	0.9104975876017349	0.00030000000000000003	0.910473812267896
25	tensor(0.2304, device='cuda:0')	0.9169062819825528	0.00030000000000000003	0.9169125368164931
26	tensor(0.2190, device='cuda:0')	0.9211218870315317	0.00030000000000000003	0.9210423869893709
27	tensor(0.2147, device='cuda:0')	0.9218041814903261	0.00030000000000000003	0.9218824433346128
28	tensor(0.2065, device='cuda:0')	0.9267508163165846	0.00030000000000000003	0.9268613138686133
29	tensor(0.2146, device='cuda:0')	0.9229007261562454	0.00030000000000000003	0.9230170316301703
30	tensor(0.1949, device='cuda:0')	0.9282128758711439	0.00030000000000000003	0.9282417723139967
31	tensor(0.1898, device='cuda:0')	0.9317218188020858	0.00030000000000000003	0.9317454219490332
32	tensor(0.1870, device='cuda:0')	0.933403187289829	0.00030000000000000003	0.9333845562812132
33	tensor(0.1856, device='cuda:0')	0.9328914664457332	0.00030000000000000003	0.9329530029453197
34	tensor(0.1762, device='cuda:0')	0.936278571080462	0.00030000000000000003	0.936374695863747
35	tensor(0.1751, device='cuda:0')	0.9371070714947122	0.00030000000000000003	0.9370828531181973
36	tensor(0.1700, device='cuda:0')	0.9394219991227643	0.00030000000000000003	0.9393942886413122
37	tensor(0.1683, device='cuda:0')	0.939373263804279	0.00030000000000000003	0.939266231271609
38	tensor(0.1645, device='cuda:0')	0.9406891174033822	0.00030000000000000003	0.9406991932385704
39	tensor(0.1623, device='cuda:0')	0.9413470442029339	0.00030000000000000003	0.9413561275451409
40	tensor(0.1589, device='cuda:0')	0.9430771480091622	0.00030000000000000003	0.9431630170316291
41	tensor(0.1518, device='cuda:0')	0.9451727667040304	0.00030000000000000003	0.9452157766679468
42	tensor(0.1495, device='cuda:0')	0.9462693113699499	0.00030000000000000003	0.9461915738250731
43	tensor(0.1446, device='cuda:0')	0.9474633266728398	0.00030000000000000003	0.947502881290819
44	tensor(0.1424, device='cuda:0')	0.9484624007017886	0.00030000000000000003	0.9484607504161857
45	tensor(0.1375, device='cuda:0')	0.9501437691895317	0.00030000000000000003	0.9502189781021887
46	tensor(0.1401, device='cuda:0')	0.9504849164189288	0.00030000000000000003	0.9504405173517738
47	tensor(0.1341, device='cuda:0')	0.9514596227886349	0.00030000000000000003	0.9515328467153276
48	tensor(0.1324, device='cuda:0')	0.9509966372630245	0.00030000000000000003	0.9509911640414913
49	tensor(0.1310, device='cuda:0')	0.951946975973488	0.00030000000000000003	0.9519797669355865
50	tensor(0.0960, device='cuda:0')	0.9661533213119547	0.00015000000000000001	0.9662043795620455
51	tensor(0.0873, device='cuda:0')	0.9686144548954627	0.00015000000000000001	0.9685030093481894
52	tensor(0.0823, device='cuda:0')	0.970563867634875	0.00015000000000000001	0.9705288769368696
53	tensor(0.0791, device='cuda:0')	0.9723670744188313	0.00015000000000000001	0.9724087591240896
54	tensor(0.0783, device='cuda:0')	0.971270529752912	0.00015000000000000001	0.9712741708285323
55	tensor(0.0765, device='cuda:0')	0.9733174131292948	0.00015000000000000001	0.9733576642335802
56	tensor(0.0716, device='cuda:0')	0.9740240752473317	0.00015000000000000001	0.9739838647714203
57	tensor(0.0685, device='cuda:0')	0.9755836054388616	0.00015000000000000001	0.9755807401715993
