epoch	batch	iter	loss	acc	lr	Failure_case_True	Failure_case_Pred
0	1	-228	tensor(0.0091, device='cuda:0')	1.0	3e-06	[]	[]
0	2	-227	tensor(0.0087, device='cuda:0')	1.0	3e-06	[]	[]
0	3	-226	tensor(0.0183, device='cuda:0')	1.0	3e-06	[]	[]
0	4	-225	tensor(0.0106, device='cuda:0')	1.0	3e-06	[]	[]
0	5	-224	tensor(0.0139, device='cuda:0')	1.0	3e-06	[]	[]
0	6	-223	tensor(0.0150, device='cuda:0')	1.0	3e-06	[]	[]
0	7	-222	tensor(0.0079, device='cuda:0')	1.0	3e-06	[]	[]
0	8	-221	tensor(0.0111, device='cuda:0')	1.0	3e-06	[]	[]
0	9	-220	tensor(0.0099, device='cuda:0')	1.0	3e-06	[]	[]
0	10	-219	tensor(0.0173, device='cuda:0')	1.0	3e-06	[]	[]
0	11	-218	tensor(0.0205, device='cuda:0')	0.99	3e-06	[ 9 10]	[11  9]
0	12	-217	tensor(0.0095, device='cuda:0')	1.0	3e-06	[]	[]
0	13	-216	tensor(0.0102, device='cuda:0')	1.0	3e-06	[]	[]
0	14	-215	tensor(0.0191, device='cuda:0')	0.99	3e-06	[0 6]	[16  0]
0	15	-214	tensor(0.0064, device='cuda:0')	1.0	3e-06	[]	[]
0	16	-213	tensor(0.0138, device='cuda:0')	1.0	3e-06	[]	[]
0	17	-212	tensor(0.0133, device='cuda:0')	1.0	3e-06	[]	[]
0	18	-211	tensor(0.0150, device='cuda:0')	1.0	3e-06	[]	[]
0	19	-210	tensor(0.0088, device='cuda:0')	1.0	3e-06	[]	[]
0	20	-209	tensor(0.0131, device='cuda:0')	1.0	3e-06	[]	[]
0	21	-208	tensor(0.0100, device='cuda:0')	1.0	3e-06	[]	[]
0	22	-207	tensor(0.0080, device='cuda:0')	1.0	3e-06	[]	[]
0	23	-206	tensor(0.0105, device='cuda:0')	1.0	3e-06	[]	[]
0	24	-205	tensor(0.0075, device='cuda:0')	1.0	3e-06	[]	[]
0	25	-204	tensor(0.0086, device='cuda:0')	0.995	3e-06	[11]	[12]
0	26	-203	tensor(0.0125, device='cuda:0')	1.0	3e-06	[]	[]
0	27	-202	tensor(0.0117, device='cuda:0')	1.0	3e-06	[]	[]
0	28	-201	tensor(0.0097, device='cuda:0')	1.0	3e-06	[]	[]
0	29	-200	tensor(0.0121, device='cuda:0')	1.0	3e-06	[]	[]
0	30	-199	tensor(0.0111, device='cuda:0')	1.0	3e-06	[]	[]
0	31	-198	tensor(0.0127, device='cuda:0')	1.0	3e-06	[]	[]
0	32	-197	tensor(0.0073, device='cuda:0')	1.0	3e-06	[]	[]
0	33	-196	tensor(0.0087, device='cuda:0')	1.0	3e-06	[]	[]
0	34	-195	tensor(0.0083, device='cuda:0')	1.0	3e-06	[]	[]
0	35	-194	tensor(0.0072, device='cuda:0')	1.0	3e-06	[]	[]
0	36	-193	tensor(0.0259, device='cuda:0')	0.995	3e-06	[10]	[12]
0	37	-192	tensor(0.0107, device='cuda:0')	1.0	3e-06	[]	[]
0	38	-191	tensor(0.0108, device='cuda:0')	1.0	3e-06	[]	[]
0	39	-190	tensor(0.0122, device='cuda:0')	1.0	3e-06	[]	[]
0	40	-189	tensor(0.0071, device='cuda:0')	1.0	3e-06	[]	[]
0	41	-188	tensor(0.0110, device='cuda:0')	1.0	3e-06	[]	[]
0	42	-187	tensor(0.0107, device='cuda:0')	1.0	3e-06	[]	[]
0	43	-186	tensor(0.0120, device='cuda:0')	1.0	3e-06	[]	[]
0	44	-185	tensor(0.0167, device='cuda:0')	1.0	3e-06	[]	[]
0	45	-184	tensor(0.0080, device='cuda:0')	1.0	3e-06	[]	[]
0	46	-183	tensor(0.0126, device='cuda:0')	1.0	3e-06	[]	[]
0	47	-182	tensor(0.0113, device='cuda:0')	1.0	3e-06	[]	[]
0	48	-181	tensor(0.0082, device='cuda:0')	1.0	3e-06	[]	[]
0	49	-180	tensor(0.0071, device='cuda:0')	1.0	3e-06	[]	[]
0	50	-179	tensor(0.0100, device='cuda:0')	1.0	3e-06	[]	[]
0	51	-178	tensor(0.0109, device='cuda:0')	1.0	3e-06	[]	[]
0	52	-177	tensor(0.0133, device='cuda:0')	1.0	3e-06	[]	[]
0	53	-176	tensor(0.0151, device='cuda:0')	1.0	3e-06	[]	[]
0	54	-175	tensor(0.0105, device='cuda:0')	1.0	3e-06	[]	[]
0	55	-174	tensor(0.0086, device='cuda:0')	1.0	3e-06	[]	[]
0	56	-173	tensor(0.0097, device='cuda:0')	1.0	3e-06	[]	[]
0	57	-172	tensor(0.0102, device='cuda:0')	1.0	3e-06	[]	[]
0	58	-171	tensor(0.0089, device='cuda:0')	1.0	3e-06	[]	[]
0	59	-170	tensor(0.0264, device='cuda:0')	0.995	3e-06	[4]	[0]
0	60	-169	tensor(0.0079, device='cuda:0')	1.0	3e-06	[]	[]
0	61	-168	tensor(0.0123, device='cuda:0')	1.0	3e-06	[]	[]
0	62	-167	tensor(0.0131, device='cuda:0')	1.0	3e-06	[]	[]
0	63	-166	tensor(0.0113, device='cuda:0')	1.0	3e-06	[]	[]
0	64	-165	tensor(0.0091, device='cuda:0')	1.0	3e-06	[]	[]
0	65	-164	tensor(0.0151, device='cuda:0')	1.0	3e-06	[]	[]
0	66	-163	tensor(0.0091, device='cuda:0')	1.0	3e-06	[]	[]
