epoch	loss	acc	lr	f1_score.avg
0	tensor(0.0102, device='cuda:0')	0.9993880182720258	3e-06	0.9993881452286096
1	tensor(0.0089, device='cuda:0')	0.9993005923108867	3e-06	0.999300583167468
2	tensor(0.0082, device='cuda:0')	0.9996721526457282	1.5e-06	0.9996721766637029
3	tensor(0.0082, device='cuda:0')	0.9995410137040194	1.5e-06	0.9995410118963176
4	tensor(0.0081, device='cuda:0')	0.9996284396651586	7.5e-07	0.9996284417027694
5	tensor(0.0079, device='cuda:0')	0.9995628701943042	7.5e-07	0.9995628227765678
6	tensor(0.0078, device='cuda:0')	0.9996284396651586	3.75e-07	0.9996284167781347
7	tensor(0.0079, device='cuda:0')	0.999584726684589	3.75e-07	0.9995847559647906
8	tensor(0.0077, device='cuda:0')	0.9996502961554433	1.875e-07	0.9996503034622222
9	tensor(0.0077, device='cuda:0')	0.9996065831748738	1.875e-07	0.9996066576358871
10	tensor(0.0077, device='cuda:0')	0.9996721526457282	9.375e-08	0.9996721260263606
