epoch	loss	acc	lr	f1_score.avg
0	tensor(1.3931, device='cuda:0')	0.6865580048112327	0.0002	0.6866048593350387
1	tensor(1.1350, device='cuda:0')	0.6964013942756149	0.0002	0.6964443023586244
2	tensor(0.9399, device='cuda:0')	0.7290735922234769	0.0002	0.7290888746803061
3	tensor(0.8307, device='cuda:0')	0.7469438853159213	0.0002	0.7469430235862459
4	tensor(0.7433, device='cuda:0')	0.7659433452795915	0.0002	0.7659796817277634
5	tensor(0.6835, device='cuda:0')	0.777087731356473	0.0002	0.7771732026143795
6	tensor(0.6372, device='cuda:0')	0.7892876429868918	0.0002	0.7893435635123616
7	tensor(0.5907, device='cuda:0')	0.8021257793706122	0.0002	0.8020740977550439
8	tensor(0.5682, device='cuda:0')	0.8066178997496195	0.0002	0.806669508383063
9	tensor(0.5499, device='cuda:0')	0.8110854730227306	0.0002	0.8110532111395281
10	tensor(0.5358, device='cuda:0')	0.8162894594727281	0.00021600000000000002	0.8163043478260876
11	tensor(0.5240, device='cuda:0')	0.8189159998036232	0.00021600000000000002	0.8189048735436208
12	tensor(0.5143, device='cuda:0')	0.8227208012175364	0.00021600000000000002	0.8228140096618353
13	tensor(0.5033, device='cuda:0')	0.8245372870538563	0.00021600000000000002	0.824561665245808
14	tensor(0.4945, device='cuda:0')	0.8286366537385242	0.00021600000000000002	0.8286988491048587
15	tensor(0.4827, device='cuda:0')	0.8296676321861652	0.00021600000000000002	0.8297062375674908
16	tensor(0.4803, device='cuda:0')	0.8313368353871079	0.00021600000000000002	0.8313178459789715
17	tensor(0.4677, device='cuda:0')	0.835804408660219	0.00021600000000000002	0.8358447001989207
18	tensor(0.4631, device='cuda:0')	0.8367862928960675	0.00021600000000000002	0.8368361040068202
19	tensor(0.4561, device='cuda:0')	0.8388727968972458	0.00021600000000000002	0.8388423557828928
20	tensor(0.4576, device='cuda:0')	0.838553684520595	0.00023328000000000004	0.8386228331912471
21	tensor(0.4573, device='cuda:0')	0.8387991555795572	0.00023328000000000004	0.8388679312304631
22	tensor(0.4484, device='cuda:0')	0.8421375619814424	0.00023328000000000004	0.8421241830065354
23	tensor(0.4437, device='cuda:0')	0.8435367470175267	0.00023328000000000004	0.8435322534811028
24	tensor(0.4443, device='cuda:0')	0.8427266925229515	0.00023328000000000004	0.8426793833475418
25	tensor(0.4352, device='cuda:0')	0.8445431783592714	0.00023328000000000004	0.8444820971867006
26	tensor(0.4255, device='cuda:0')	0.8483725268790809	0.00023328000000000004	0.8483606848536513
27	tensor(0.4287, device='cuda:0')	0.8484216210908734	0.00023328000000000004	0.848365657857346
28	tensor(0.4262, device='cuda:0')	0.8494280524326182	0.00023328000000000004	0.8493705598181297
29	tensor(0.4165, device='cuda:0')	0.8490843929500712	0.00023328000000000004	0.8491375390736013
30	tensor(0.4252, device='cuda:0')	0.8484707153026658	0.00025194240000000004	0.8484477124183005
31	tensor(0.4186, device='cuda:0')	0.8509745201040797	0.00025194240000000004	0.8510358056265975
32	tensor(0.5742, device='cuda:0')	0.8062251460552801	0.00025194240000000004	0.8062773515203182
33	tensor(0.4884, device='cuda:0')	0.827016544749374	0.00025194240000000004	0.8269600738846262
34	tensor(0.4515, device='cuda:0')	0.8391428150621042	0.00025194240000000004	0.8391560102301789
35	tensor(0.4343, device='cuda:0')	0.8446904609946487	0.00025194240000000004	0.844772307473714
36	tensor(0.4271, device='cuda:0')	0.8477588492316755	0.00025194240000000004	0.8477699630576869
37	tensor(0.4248, device='cuda:0')	0.8495262408562031	0.00025194240000000004	0.8495897271952257
38	tensor(0.4168, device='cuda:0')	0.8512199911630419	0.00025194240000000004	0.8512368570616651
39	tensor(0.4122, device='cuda:0')	0.8521036869753056	0.00025194240000000004	0.85208617504973
40	tensor(0.4072, device='cuda:0')	0.8548284157297854	0.0002720977920000001	0.8549168797953964
41	tensor(0.4056, device='cuda:0')	0.8545829446708233	0.0002720977920000001	0.8546387468030686
42	tensor(0.4069, device='cuda:0')	0.8543374736118612	0.0002720977920000001	0.8543165672065927
43	tensor(0.4015, device='cuda:0')	0.8578722568609161	0.0002720977920000001	0.857912048877523
44	tensor(0.4032, device='cuda:0')	0.8564730718248319	0.0002720977920000001	0.8564379084967317
45	tensor(0.3966, device='cuda:0')	0.8586823113554912	0.0002720977920000001	0.8585997442455242
46	tensor(0.3905, device='cuda:0')	0.8590996121557268	0.0002720977920000001	0.8591375390736004
47	tensor(0.3912, device='cuda:0')	0.8612352103686975	0.0002720977920000001	0.8611928104575162
48	tensor(0.3903, device='cuda:0')	0.8605478914036035	0.0002720977920000001	0.8605285592497869
49	tensor(0.3926, device='cuda:0')	0.8598114782267171	0.0002720977920000001	0.8598263000852511
50	tensor(0.3904, device='cuda:0')	0.8608915508861505	0.00029386561536000013	0.8608937198067633
51	tensor(0.3509, device='cuda:0')	0.8726250675045412	0.00015000000000000001	0.8726534526854215
52	tensor(0.3393, device='cuda:0')	0.8776572242132653	0.00015000000000000001	0.8776339158851945
53	tensor(0.3335, device='cuda:0')	0.8785900142373214	0.00015000000000000001	0.8785652884342143
54	tensor(0.3318, device='cuda:0')	0.8796700868967549	0.00015000000000000001	0.8796547314578007
55	tensor(0.3321, device='cuda:0')	0.8819284206392066	0.00015000000000000001	0.8819426683716971
56	tensor(0.3242, device='cuda:0')	0.8821493445922726	0.00015000000000000001	0.882141233304916
57	tensor(0.3229, device='cuda:0')	0.8835976238401493	0.00015000000000000001	0.8835983233873265
58	tensor(0.3199, device='cuda:0')	0.8839412833226963	0.00015000000000000001	0.8839414606422279
